,nr_inst,nr_class,nr_attr,nr_num,nr_cat,cat_to_num,attr_to_inst,freq_class.median,freq_class.sd,freq_class.min,freq_class.max,class_ent,kurtosis.median,kurtosis.max,kurtosis.min,kurtosis.sd,skewness.median,skewness.max,skewness.min,skewness.sd,leaves,nodes,pca.median,pca.kurtosis,pca.skewness,cat_values.min,cat_values.max,cat_values.median,cat_values.sd,cat_values.total,missing_attr.total,missing_attr.perc,missing_inst.total,missing_inst.perc,missing_values.total,missing_values.perc,log_nr_inst,log_nr_attr,log_attr_to_inst,inv_attr_to_inst,log_inv_attr_to_inst
breast-tissue,0.0007189072609633358,0.04081632653061224,0.023166023166023165,0.023166023166023165,0.0,0.0,0.050135293518665185,0.3554773511332234,0.053038791648610806,0.21852495967562455,0.19959271691513844,0.36648758807149145,0.01791802476626901,0.0005011323939297558,0.19852553029899997,0.00109317311910832,0.721324184721038,0.021213298344076745,0.9134054312641914,0.036045068184396976,0.0015290519877675841,0.0015290519877675841,0.012553657830758711,0.11922710927980328,0.3274143422451768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22642518033787745,0.24578928575595996,0.6779291285880876,0.001750600161688805,0.3220708714119125
ecoli,0.0024391496354113176,0.061224489795918366,0.015444015444015444,0.015444015444015444,0.0,0.0,0.012534861512169537,0.14127162169741642,0.22065848127910792,0.009815868088674257,0.43599166028643327,0.3088044923430167,0.00931384135684903,0.0024753130308049153,0.16249064984161618,0.006485386261000604,0.6732304738873807,0.050262436781008314,0.8749677460379577,0.12431313533049225,0.0039990590449306045,0.0039990590449306045,0.01731379979732859,0.08956594914686165,0.19894342938910353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3494009691832908,0.1895634502501345,0.5292693449076777,0.007238968236172626,0.4707306550923223
oocytes_merluccius_nucleus_4d,0.007676902536715621,0.0,0.14671814671814673,0.14671814671814673,0.0,0.0,0.024072797451698952,1.0,0.34137092567669175,0.6797757683197665,0.6772040992947326,0.11272063957419323,0.008482053872091328,0.0002974335840879959,0.15121055907697675,0.0005133617139427003,0.6929296287359255,0.0139857359014539,0.7609421195606987,0.03778620011554564,0.0103505057633498,0.0103505057633498,0.07546920735227616,0.16411947829549753,0.40985854163355434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4712039316962024,0.5850372353865494,0.5991524417764255,0.0037384703404200093,0.4008475582235747
plant-margin,0.012195748177056587,1.0,0.23552123552123552,0.23552123552123552,0.0,0.0,0.02376886926073382,0.014919709330312128,0.002401224926160818,0.012241652391744906,0.00037180133367088503,0.9991840776886507,0.019478968829467525,0.0017671376941786345,0.23899464399973014,0.0018753674546221541,0.7278099342247923,0.039818198925544335,0.908315322340309,0.039596057711402254,0.03610915078804987,0.03610915078804987,0.040835333685283706,0.5697912549373622,0.6790121238860793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5210708973174042,0.6846653551991139,0.597789686881208,0.0037872671094937665,0.402210313118792
conn-bench-vowel-deterding,0.005378966827564958,0.09183673469387756,0.03088803088803089,0.03088803088803089,0.0,0.0,0.00910868322625661,0.177697041403308,0.01125924208851785,0.15432322151715494,0.0925370698314903,0.5061952150730428,0.0058725751248568355,2.3147250500656304e-05,0.08384237748167786,4.4371869052568636e-05,0.656792688612117,0.0017704652241538983,0.8709415308034216,0.0030822410356911184,0.0077628793225123505,0.0077628793225123505,0.027349777998911872,0.09737892115394849,0.27049258313456465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4330828582266494,0.2906847483486728,0.495188362060974,0.009968939517054281,0.5048116379390261
optical,0.039180445722501796,0.08163265306122448,0.2277992277992278,0.2277992277992278,0.0,0.0,0.007144327755245707,0.19579026643597003,0.0024586329995368167,0.19453929767850728,0.09385219606140198,0.48548265601240076,0.00710951622761047,0.027965200405072443,0.0,0.03277780109446486,0.6752591432840911,0.16197195061610464,0.8247368803335301,0.2279932030183558,0.025523406257351212,0.025523406257351212,0.07906586881987922,0.26627409754351766,0.4611327801271789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6475243861140602,0.6775623126035475,0.46933172890376207,0.012699996662173986,0.530668271096238
magic,0.1464003286433193,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0002204128268001855,1.0,0.3120916530781359,0.7072413320176538,0.6628542602591541,0.11467095453876128,0.017691735683729653,0.00024172794092931326,0.20622027198465004,0.0005158264427757086,0.6799935198132556,0.01277330456790538,0.8314870811794711,0.030841220289274756,0.138555633968478,0.138555633968478,0.1577555816840377,0.22492719425079996,0.4584562386223092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7908476076595954,0.2693612830452056,0.13116183712975882,0.2957016697557594,0.8688381628702412
miniboone,1.0,0.0,0.18146718146718147,0.18146718146718147,0.0,0.0,0.0001366711382413135,1.0,0.4681270640656866,0.560871686571254,0.7393276115184682,0.10204854396354822,1.0,1.0,1.0,1.0,0.0,1.0,0.18665831730066104,1.0,0.4383674429545989,0.4383674429545989,1.0,0.13957426660743977,0.4120914292763037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.629436078353859,0.09763620589011822,0.4037552122011278,0.9023637941098819
heart-switzerland,0.0008472835575639314,0.030612244897959183,0.03474903474903475,0.03474903474903475,0.0,0.0,0.05782784918140664,0.4561707322644827,0.22435304706229314,0.10785119982658996,0.42514836765702024,0.2785387434052952,0.007508361107198329,0.0004220921941594172,0.09779635715585971,0.001008453584641065,0.663156978164011,0.021104312759583223,0.7169822080715205,0.06323320296034525,0.0037638202775817455,0.0037638202775817455,0.007844998442014174,0.11864471407677485,0.27890107388011054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24223368569951423,0.31015154698502456,0.6932721092533584,0.0015058041343786193,0.30672789074664164
breast-cancer-wisc-prog,0.0015276779295470885,0.0,0.11583011583011583,0.11583011583011583,0.0,0.0,0.09271692053368286,1.0,0.5625595551573003,0.47228899378891614,0.7856092393672524,0.09156212894554445,0.013249929986866811,0.0002949028327051968,0.16771962776915317,0.00034228960097709693,0.6944484783694622,0.014101275270351451,0.8655971844719845,0.017477158709328023,0.0016466713714420136,0.0016466713714420136,0.018373054777966108,0.19634701601513302,0.4329910807654341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30104621650443913,0.5364740341046325,0.7440362408411391,0.0009049411582536189,0.2559637591588609
ringnorm,0.05667813494916299,0.0,0.06563706563706563,0.06563706563706563,0.0,0.0,0.0015225144862353723,1.0,0.011331278773101512,0.9893706826237497,0.5154507843500165,0.1244093844694347,0.011382337688346787,3.9403962651599875e-05,0.31759515528794324,7.402336700207309e-06,0.6458858744671019,0.0,0.8666906931087061,0.00015402240852818163,0.02893436838390967,0.02893436838390967,0.08854660160924299,0.4777644035272066,0.589127735876847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6876388967173599,0.4244370565377179,0.3078476934085284,0.057228579833332995,0.6921523065914715
lung-cancer,0.0001540515559207148,0.01020408163265306,0.20463320463320464,0.20463320463320464,0.0,0.0,1.0,0.698174747561613,0.043533305967511024,0.5998848032026454,0.3531118093688574,0.21481971223780164,0.004392378278046987,0.00019365409529196326,0.0,0.0003246092710880296,0.6487328768758053,0.01433041015415568,0.7756816470829463,0.03175649487085779,0.0004704775346977182,0.0004704775346977182,0.007307101017730557,0.1290445423227114,0.2723541873521742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0997726024261926,0.6547907707276716,1.0,0.0,0.0
steel-plates,0.014673410701448085,0.05102040816326531,0.09266409266409266,0.09266409266409266,0.0,0.0,0.008286013723951342,0.19320967916245638,0.17443011764921612,0.04837930861463852,0.3496155737691417,0.3427215574051484,0.007071378076681847,0.013378793973330003,0.0938481285902365,0.021171621514444516,0.6857835868284357,0.11358073933271953,0.8427237373434361,0.17879761707354738,0.021994824747118325,0.021994824747118325,0.06136928886909835,0.26936395246659794,0.46669721656378665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5410559590437348,0.49157857151191964,0.48510390418569477,0.010956850757393426,0.5148960958143053
plant-shape,0.012555201807538257,1.0,0.23552123552123552,0.23552123552123552,0.0,0.0,0.023091262468404445,0.014323252201403812,0.0020510522162046478,0.011885839653354302,0.0,1.0,0.024868950667449274,0.000138339466309188,0.2228717413055545,0.00023913873911582693,0.7286532913335176,0.009330681099080815,0.8895430237320058,0.016666682424200698,0.03952011291460833,0.03952011291460833,0.17371767919187772,0.08982707253896892,0.2565222835606889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5242077910594892,0.6846653551991139,0.594687867652725,0.0039006652692036314,0.40531213234727503
echocardiogram,0.0008986340762041696,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,0.04569921441099074,1.0,0.3554480997225126,0.6665706693355378,0.6841033682799712,0.11171608032796586,0.010170505003908526,0.00014224958358320113,0.23160373989710178,0.00030077176455134874,0.6711974422413466,0.006505593237267256,0.7666198549343792,0.03322635479309683,0.0015290519877675841,0.0015290519877675841,0.0098251045684338,0.11837981621023727,0.21384463003340615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24796592996278238,0.2693612830452056,0.6679733982226029,0.001929157263962117,0.3320266017773972
lymphography,0.001065523261784944,0.02040816326530612,0.05791505791505792,0.05791505791505792,0.0,0.0,0.07055761162265947,0.43615065334266,0.414710408117937,0.021696301720363225,0.5615848212593472,0.15449097624679387,0.00516363651752376,0.0005339276841523888,0.08317236291882621,0.0008955445091885828,0.660168509911544,0.022686850648970247,0.8167746834802165,0.04352290078855364,0.002352387673488591,0.002352387673488591,0.009839765536299942,0.294882166635047,0.5033690525302283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26475101133174317,0.4008650592484721,0.7146629814623312,0.0012178088081313424,0.2853370185376688
energy-y2,0.005802608606346924,0.01020408163265306,0.019305019305019305,0.019305019305019305,0.0,0.0,0.006119185166416132,0.5100807540106823,0.2149837697168525,0.4911578073712721,0.5076250380069838,0.20248756323534298,0.0031330952891198533,2.5396677515342266e-05,0.08365473334341797,5.6664161958895004e-05,0.6550678766410758,0.0028485909304146457,0.8731585312952889,0.0064609461704427254,0.0056457304163726185,0.0056457304163726185,0.03207428656484059,0.18049925752645019,0.4441792565855286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44118871298278295,0.21943803472157702,0.45288523037887696,0.014811188207002814,0.547114769621123
musk-1,0.0035046728971962616,0.0,0.6293436293436293,0.6293436293436293,0.0,0.0,0.21090815021575604,1.0,0.12522902977575845,0.8825284515762155,0.5712723690522031,0.12287135758042735,0.006239000533137227,0.002968738519289822,0.11679472524475462,0.0018498613252328224,0.6553854298195814,0.053087822154071686,0.8033583541510846,0.04183619152968603,0.00258762644083745,0.00258762644083745,0.03692469517990379,0.5589951015443746,0.6883504475342802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38752113516252246,0.8979006585979424,0.8324669670225825,0.0003461892183323549,0.16753303297741753
plant-texture,0.012093047139776112,1.0,0.23552123552123552,0.23552123552123552,0.0,0.0,0.023969807695993002,0.015096584718682304,0.002122549759763675,0.012347166233871299,0.0004820564847393287,0.9998516410403941,0.04471183946198616,0.0022011330434755657,0.3416049018065115,0.0021024076588147395,0.7685656095040304,0.0377110611994301,0.9223162692664117,0.03645502075297891,0.03693248647377088,0.03693248647377088,0.04215246695791812,0.30307305085587427,0.5038772142269997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5201577892836171,0.6846653551991139,0.5986925851907318,0.0037548676352909473,0.40130741480926835
statlog-australian-credit,0.005186402382664065,0.0,0.04247104247104247,0.04247104247104247,0.0,0.0,0.012044475825238921,1.0,0.372702837191739,0.6503847777608994,0.6925599739952738,0.11042471385522142,0.009483100137267796,0.0016683477220699162,0.08361383140807135,0.0032659265563291214,0.6755156471101855,0.038631510638590015,0.8163262189810592,0.07479651779374896,0.011173841449070807,0.011173841449070807,0.024758318299534246,0.29750976940255874,0.4915744249681599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4291889691196319,0.3446392237426468,0.525004629307972,0.007535192000312682,0.47499537069202813
vertebral-column-2clases,0.002131046523569888,0.0,0.011583011583011582,0.011583011583011582,0.0,0.0,0.012223841033389651,1.0,0.3922185695508509,0.6320779593972093,0.7021246643239667,0.10888343534028497,0.012755215121892672,0.0005344162100822992,0.26922223332458944,0.0014274896135593241,0.6892378844717769,0.018299316937999077,0.873109019995171,0.042636186559146604,0.0027052458245118796,0.0027052458245118796,0.017789415419648336,0.12996359865973509,0.3659310546571258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33533142742618255,0.15507577349251225,0.5265841685273797,0.00742410808876016,0.4734158314726204
abalone,0.03202988600184862,0.01020408163265306,0.019305019305019305,0.019305019305019305,0.0,0.0,0.0010490230991343401,0.6828604216221276,0.028479056000027324,0.623143570949055,0.3489149996390633,0.21514800532891007,0.008026499985190975,0.001349596305632495,0.12189384653818197,0.003323919297408368,0.6793753308415468,0.017226481980578242,0.8538457938253405,0.03897184260861074,0.07633498000470477,0.07633498000470477,0.08978897628352107,0.08982707253896895,0.30787365085557716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6256461767002366,0.21943803472157702,0.2704902387602931,0.08100331400336133,0.7295097612397069
blood,0.0055330183834856736,0.0,0.003861003861003861,0.003861003861003861,0.0,0.0,0.0031618803500690494,1.0,0.546531740443827,0.4873238862444855,0.7777539623761397,0.093505929143938,0.05866023165688642,0.0002662233587510224,0.24063041094346704,0.0008330275486622568,0.7658035425857661,0.01365487692724769,0.9130912669109815,0.0328930907914872,0.013761467889908258,0.013761467889908258,0.028593559642510886,0.08982707253896896,0.2093684115111631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4361007186870696,0.06436226122906469,0.383285182644307,0.02835416842378101,0.6167148173556931
credit-approval,0.005263428160624422,0.0,0.04633204633204633,0.04633204633204633,0.0,0.0,0.0127247476992141,1.0,0.09183827720351048,0.9138507715556473,0.5549074682413241,0.12358894839414174,0.012717318673190524,0.0013893478015832527,0.08471799337428708,0.0027176127627862004,0.7120074138554889,0.0352320864861908,0.8427584193870257,0.0646890336862238,0.006351446718419196,0.006351446718419196,0.025197428517271345,0.22823344601093098,0.4158204676093676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4307632735781485,0.36007479530865305,0.5308763895538416,0.007130352855987939,0.46912361044615847
molec-biol-splice,0.024455684502413474,0.01020408163265306,0.22007722007722008,0.22007722007722008,0.0,0.0,0.01111002028272304,0.483021055245482,0.2412402852229683,0.47763316527496613,0.5287476128078641,0.19922338625016975,0.0028367869223697283,2.0767319427869063e-05,0.13568054290528891,1.1499039106323504e-05,0.6561839027109142,0.0029848626076545456,0.8505680949831451,0.00330029642973195,0.014231945424605975,0.014231945424605975,0.0573620039822885,0.23262159003939148,0.3577546700381071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963753319133688,0.6702263422936774,0.5163783908023446,0.008171455960371844,0.48362160919765534
wine-quality-white,0.03762709253363459,0.05102040816326531,0.03088803088803089,0.03088803088803089,0.0,0.0,0.0012442572585102513,0.06717275809063182,0.262680231737145,0.0017540472172347435,0.4553059812999896,0.2581285794665664,0.0218900650235293,0.0005335553153501596,0.1951769046761368,0.0010887425030038623,0.7010312100658064,0.019215154739364203,0.8978145250143688,0.031336808281706985,0.09656551399670665,0.09656551399670665,0.07523241453632794,0.2385324361931225,0.4219696504109129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64313126258086,0.2906847483486728,0.2874885694932524,0.06915983347885826,0.7125114305067476
bank,0.034430522748279756,0.0,0.05019305019305019,0.05019305019305019,0.0,0.0,0.002031896499465752,1.0,0.8253266842789485,0.22579935757868067,0.9143920841384545,0.04805516124220866,0.01188954176484511,0.000680012215873435,0.08895627114401713,0.0018076278096320073,0.6772876985729174,0.021870134888396123,0.5798363492970828,0.07377234367879898,0.026581980710421078,0.026581980710421078,0.07029485612729583,0.26192799149204665,0.425675793265136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6334916493243248,0.37451380821408925,0.3373636403269271,0.04348472287649732,0.6626363596730729
car,0.01306870699394064,0.02040816326530612,0.011583011583011582,0.011583011583011582,0.0,0.0,0.0019961781311964035,0.26259719783734725,0.46970834028827013,0.06990760165272414,0.7167033347316909,0.15637776245561053,0.002418869328877998,7.527523299643822e-06,0.12332194902809632,7.267613660980785e-06,0.6557535099097848,0.0008380748113655238,0.8621349050457198,0.00333557904574647,0.008115737473535639,0.008115737473535639,0.040882321017012696,0.12484890423232942,0.29200410854896913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528537884260541,0.15507577349251225,0.3355380088071175,0.04422991078316215,0.6644619911928825
low-res-spect,0.003953989935298346,0.07142857142857142,0.3745173745173745,0.3745173745173745,0.0,0.0,0.11293778381763639,0.02575397104783109,0.24774999368550166,0.006042885579534559,0.5132049598732654,0.28311416024096164,0.021271584998479667,0.003080886952842847,0.15080667750334267,0.0021485228477259,0.7137312178898036,0.05307097712686569,0.8051239439754011,0.05106985834334837,0.0039990590449306045,0.0039990590449306045,0.0715753783781551,0.17852344581717125,0.4038203323394908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4003031707928543,0.7845118518463711,0.7652588035976176,0.000726488781553488,0.2347411964023825
horse-colic,0.002901304303173462,0.0,0.08494208494208494,0.08494208494208494,0.0,0.0,0.03806725035477666,1.0,0.25519348386917584,0.7606148395229503,0.6349682948347691,0.11793458031659382,0.005253094570118062,0.0007435536905637722,0.10895993148665435,0.0011112348305202346,0.6700104789549117,0.026475066088125138,0.8131090883462777,0.042879517109071986,0.0029404845918607385,0.0029404845918607385,0.017711445523383686,0.4165947755463645,0.5747560866718527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675910699809694,0.47436030486134645,0.6483428375788439,0.002333502702013293,0.35165716242115613
hill-valley,0.006059361199548115,0.0,0.3745173745173745,0.3745173745173745,0.0,0.0,0.07431907962179356,1.0,0.06664651308009004,0.93748199677405,0.5425609161023813,0.12398357003310582,0.04156151076567484,0.0001578999201586919,0.9321560680044152,4.2227175952461254e-05,0.7763414912736566,0.011888013531363126,1.0,0.0005965198998396378,0.010232886379675371,0.010232886379675371,0.30728618201716995,0.0,0.1687103376033317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445822922782257,0.7845118518463711,0.7202480210829845,0.0011515698830944687,0.27975197891701553
statlog-shuttle,0.445696826537948,0.05102040816326531,0.023166023166023165,0.023166023166023165,0.0,0.0,0.0,0.0,0.4356539137170768,0.0,0.8079729736007181,0.11840660001008077,0.05164495200243904,0.07601901471637175,0.29943491632770003,0.19804207064427393,0.6926780232284856,0.04200953788434566,0.0,0.20389376451947136,0.003410962126558457,0.003410962126558457,0.3055394814044414,0.19553720868303037,0.44723570364737664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120201439377503,0.24578928575595996,0.0,1.0,1.0
hayes-roth,0.001155386669405361,0.01020408163265306,0.0,0.0,0.0,0.0,0.010841386741996617,0.7536120461687396,0.17158532379354205,0.4079927997716336,0.42457186585953866,0.20597630185796886,0.005831117344053363,2.033957632197335e-05,0.21127776023565925,1.019709492076864e-05,0.6872896397382076,0.0036420333719288764,0.9053025655264458,0.002041165895978511,0.0015290519877675841,0.0015290519877675841,0.010153986631478968,0.0898270725389688,0.0704466167379146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2728204427742956,0.0,0.5137650481331725,0.008374492665376175,0.48623495186682764
